Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),30.582,Red, (3-4),6.480391,12.71673,26.71042,33.49794,1272.124,2260.462
1,Red,(3-4),17.340,Green, (4-2),5.880849,3.845258,9.182697,15.40414,492.4236,973.1081
2,Green,(4-2),8.560,Green, (4-0),5.324446,1.983645,9.633603,17.60457,489.0296,1099.809
3,Green,(4-0),5.320,Green, (4-4),4.657253,1.739083,25.71696,36.09776,1176.852,2303.219
4,Green,(4-4),1.120,Red, (4-3),3.134628,1.1974,13.92743,15.86127,830.1467,1613.875
5,Red,(4-3),13.640,Green, (2-4),5.719574,7.144772,23.62239,21.39245,1135.844,1514.667
6,Green,(2-4),5.720,Green, (2-2),4.638175,2.275054,15.50222,18.23549,932.5312,2952.087
7,Green,(2-2),1.860,Red, (2-1),3.497952,1.11036,12.16909,10.79004,635.7144,773.5964
8,Red,(2-1),8.720,Green, (2-0),5.355777,4.54139,9.980815,11.13164,535.2397,742.8823
9,Green,(2-0),5.660,Green, (3-3),4.777589,2.090046,20.04987,22.70078,985.6184,1516.434
10,Green,(3-3),12.100,Red, (2-3),5.346663,10.74008,23.55121,19.3323,1138.05,1410.307
11,Red,(2-3),2.800,Green, (1-3),4.258667,4.081272,11.99499,12.46157,639.0819,828.6105
12,Green,(1-3),5.460,Red, (1-2),4.730128,2.629747,10.20136,10.69398,573.5502,758.3516
13,Red,(1-2),2.660,Green, (1-1),4.14108,1.432912,9.13807,10.03229,814.828,4465.501
14,Green,(1-1),3.420,Green, (0-0),4.407705,1.426421,11.27748,8.859544,628.4778,671.9798
15,Green,(0-0),5.380,Green, (0-2),4.849359,1.883145,12.92552,11.50959,741.5655,1578.995
16,Green,(0-2),2.340,Green, (0-4),3.931679,1.427165,27.09439,25.12802,1270.186,1794.34
17,Green,(0-4),23.220,Green, (3-1),6.286423,6.248566,21.57405,29.31965,1028.604,1874.823
