sample,t,x,y,z, HasCollision
0,0.0,0.0,-65.51071,-88.1142,False
1,0.01660156,0.0,-65.51071,-88.1142,False
2,0.03338623,0.0,-65.51071,-88.1142,False
3,0.04992676,0.0,-65.51071,-88.1142,False
4,0.06652832,0.0,-65.51071,-88.1142,False
5,0.08325195,0.0,-65.51071,-88.1142,False
6,0.09985352,0.0,-65.51071,-88.1142,False
7,0.1166382,0.0,-65.51071,-88.1142,False
8,0.1331787,0.0,-65.51071,-88.1142,False
9,0.1497803,0.0,-65.51071,-88.1142,False
10,0.166626,0.0,-65.51071,-88.1142,False
11,0.1832275,0.0,-65.51071,-88.1142,False
12,0.1998901,0.0,-65.51071,-88.1142,False
13,0.2165527,0.0,-65.51071,-88.1142,False
14,0.2332153,0.0,-65.51071,-88.1142,False
15,0.2498169,0.0,-65.51071,-88.1142,False
16,0.2665405,0.0,-65.51071,-88.1142,False
17,0.2832031,0.0,-65.51071,-88.1142,False
18,0.2998047,0.0,-65.51071,-88.1142,False
19,0.3164673,0.0,-65.51071,-88.1142,False
20,0.3331909,0.0,-65.51071,-88.1142,False
21,0.3505249,0.0,-65.51071,-88.1142,False
22,0.366394,0.0,-65.51071,-88.1142,False
23,0.3831787,0.0,-65.51071,-88.1142,False
24,0.3998413,0.0,-65.51071,-88.1142,False
25,0.416626,0.0,-65.51071,-88.1142,False
26,0.4331665,0.0,-65.51071,-88.1142,False
27,0.4498901,0.0,-65.51071,-88.1142,False
28,0.4664917,0.0,-65.51071,-88.1142,False
29,0.4832153,0.0,-65.51071,-88.1142,False
30,0.4997559,0.0,-65.51071,-88.1142,False
31,0.5166016,0.0,-65.51071,-88.1142,False
32,0.5331421,0.0,-65.51071,-88.1142,False
33,0.5498047,0.0,-65.51071,-88.1142,False
34,0.5665283,0.0,-65.51071,-88.1142,False
35,0.5831299,0.0,-65.51071,-88.1142,False
36,0.5998535,0.0,-65.51071,-88.1142,False
37,0.6165161,0.0,-65.51071,-88.1142,False
38,0.6331177,0.0,-65.51071,-88.1142,False
39,0.6497803,0.0,-65.51071,-88.1142,False
40,0.666626,0.0,-65.51071,-88.1142,False
41,0.6831055,0.0,-65.51071,-88.1142,False
42,0.6998901,0.0,-65.51071,-88.1142,False
43,0.7165527,0.0,-65.51071,-88.1142,False
44,0.7333984,0.0,-65.51071,-88.1142,False
45,0.7498779,0.0,-65.51071,-88.1142,False
46,0.7665405,0.0,-65.51071,-88.1142,False
47,0.7831421,0.0,-65.51071,-88.1142,False
48,0.7998657,0.0,-65.51071,-88.1142,False
49,0.8165283,0.0,-65.51071,-88.1142,False
50,0.8331909,0.0,-65.51071,-88.1142,False
51,0.8498535,0.0,-65.51071,-88.1142,False
52,0.866394,0.0,-65.51071,-88.1142,False
53,0.883667,0.0,-65.51071,-88.1142,False
54,0.8998413,0.0,-65.51071,-88.1142,False
55,0.9164429,0.0,-65.51071,-88.1142,False
56,0.9331665,0.0,-65.51071,-88.1142,False
57,0.9498291,0.0,-65.51071,-88.1142,False
58,0.9664307,0.0,-65.51071,-88.1142,False
59,0.9831543,0.0,-65.51071,-88.1142,False
60,0.9997559,0.0,-65.51071,-88.1142,False
61,1.016479,0.0,-65.51071,-88.1142,False
62,1.033081,0.0,-65.51071,-88.1142,False
63,1.049744,0.0,-65.51071,-88.1142,False
64,1.066406,0.0,-65.51071,-88.1142,False
65,1.083069,0.0,-65.51071,-88.1142,False
66,1.099792,0.0,-65.51071,-88.1142,False
67,1.116516,0.0,-65.51071,-88.1142,False
68,1.132996,0.0,-65.51071,-88.1142,False
69,1.149597,0.0,-65.51071,-88.1142,False
70,1.166382,0.0,-65.51071,-88.1142,False
71,1.183167,0.0,-65.51071,-88.1142,False
72,1.199646,0.0,-65.51071,-88.1142,False
73,1.216492,0.0,-65.51071,-88.1142,False
74,1.232971,0.0,-65.51071,-88.1142,False
