sample,t,vx,vy,vz
0,0.0,-0.001046468,0.0002047905,0.007114865
1,0.00504303,-4.583147e-06,8.969071e-07,3.11605e-05
2,0.05487823,0.0,0.0,0.0
3,0.104805,0.0,0.0,0.0
4,0.154808,0.0,0.0,0.0
5,0.2053299,0.0,0.0,0.0
6,0.2219849,0.0,0.0,0.0
7,0.2388611,0.0,0.0,0.0
8,0.2551422,0.0,0.0,0.0
9,0.2720108,0.0,0.0,0.0
10,0.288765,0.0,0.0,0.0
11,0.3056259,0.0,0.0,0.0
12,0.3218918,0.0,0.0,0.0
13,0.3387299,0.0,0.0,0.0
14,0.3554459,0.0,0.0,0.0
15,0.3718033,0.0,0.0,0.0
16,0.3887558,0.0,0.0,0.0
17,0.4053574,0.0,0.0,0.0
18,0.4222488,0.0,0.0,0.0
19,0.4388733,0.0,0.0,0.0
20,0.4553528,0.0,0.0,0.0
21,0.4723663,0.0,0.0,0.0
22,0.488678,0.0,0.0,0.0
23,0.5054169,0.0,0.0,0.0
24,0.5220413,0.0,0.0,0.0
25,0.5388336,0.0,0.0,0.0
26,0.5551071,0.0,0.0,0.0
27,0.5717545,0.0,0.0,0.0
28,0.5884018,0.0,0.0,0.0
29,0.6052551,0.0,0.0,0.0
30,0.6221161,0.0,0.0,0.0
31,0.6383972,0.0,0.0,0.0
32,0.6550522,0.0,0.0,0.0
33,0.6716995,0.0,0.0,0.0
34,0.6880341,0.0,0.0,0.0
35,0.7047501,0.0,0.0,0.0
36,0.7212906,0.0,0.0,0.0
37,0.7379456,0.0,0.0,0.0
38,0.7546463,0.0,0.0,0.0
39,0.7714844,0.0,0.0,0.0
40,0.7881927,0.0,0.0,0.0
41,0.8048096,0.0,0.0,0.0
42,0.8215256,0.0,0.0,0.0
43,0.838028,0.0,0.0,0.0
44,0.8548889,0.0,0.0,0.0
45,0.8714447,0.0,0.0,0.0
46,0.8882065,0.0,0.0,0.0
47,0.9054718,0.0,0.0,0.0
48,0.9215088,0.0,0.0,0.0
49,0.9381027,0.0,0.0,0.0
50,0.9548492,0.0,0.0,0.0
51,0.9714813,0.0,0.0,0.0
52,0.9882431,0.0,0.0,0.0
53,1.005562,0.0,0.0,0.0
54,1.021889,0.0,0.0,0.0
55,1.038742,0.0,0.0,0.0
56,1.055267,0.0,0.0,0.0
57,1.072067,0.0,0.0,0.0
58,1.089096,0.0,0.0,0.0
59,1.10556,0.0,0.0,0.0
60,1.121933,0.0,0.0,0.0
61,1.13884,0.0,0.0,0.0
62,1.15519,0.0,0.0,0.0
63,1.17205,0.0,0.0,0.0
64,1.188972,0.0,0.0,0.0
65,1.207397,0.0,0.0,0.0
66,1.221878,0.0,0.0,0.0
67,1.238525,0.0,0.0,0.0
68,1.255486,0.0,0.0,0.0
69,1.272057,0.0,0.0,0.0
70,1.288734,0.0,0.0,0.0
71,1.305603,0.0,0.0,0.0
72,1.322144,0.0,0.0,0.0
73,1.338921,0.0,0.0,0.0
74,1.355415,0.0,0.0,0.0
75,1.372025,0.0,0.0,0.0
