Collision k, Collision time, Ball Position, Ball Color
1,395.24,(6-6),Green
2,397.28,(6-4),Green
3,398.28,(5-5),Green
4,399.8,(4-6),Green
5,400.94,(4-5),Red
6,401.34,(3-5),Green
7,402.56,(3-6),Red
8,403.46,(2-6),Green
9,405.28,(5-4),Red
10,406.04,(4-4),Green
11,407.1,(5-3),Green
12,408.04,(6-2),Green
13,410.14,(5-1),Green
14,411.2,(6-0),Green
15,412.16,(6-1),Red
16,413.34,(5-2),Red
17,414.12,(4-2),Green
18,415.16,(4-3),Red
19,415.82,(3-3),Green
20,416.46,(3-4),Red
21,417.54,(2-4),Green
22,419.14,(1-5),Green
23,420.34,(1-6),Red
24,421.5,(0-6),Green
25,424.08,(1-4),Red
26,425.14,(0-4),Green
27,426.74,(1-3),Green
28,428.84,(2-2),Green
29,430.12,(3-1),Green
30,431.3,(4-0),Green
31,435.3,(2-0),Green
32,437.24,(1-1),Green
33,440.4,(0-2),Green
34,442.82,(0-0),Green
