Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),3.205,Green, (4-2),4.591399,3.796265,43.02501,59.607,2921.533,10241.13
1,Green,(4-2),1.400,Green, (4-0),3.18714,1.32518,41.55054,43.87394,2913.115,8561.778
2,Green,(4-0),0.400,Red, (4-1),2.080952,1.677664,54.58394,32.41908,5434.423,14800.57
3,Red,(4-1),0.500,Green, (3-1),2.446434,1.047431,35.34747,20.59255,2351.476,3901.962
4,Green,(3-1),1.880,Red, (3-0),3.717594,1.692731,22.25718,17.86951,1099.326,1225.987
5,Red,(3-0),0.660,Green, (2-0),2.861847,1.202816,28.93018,17.67654,1545.605,1536.971
6,Green,(2-0),0.800,Red, (2-1),2.688767,1.919074,27.9408,22.51275,1459.95,1774.156
7,Red,(2-1),1.100,Green, (1-1),3.291508,1.754654,28.46369,22.43311,1539.606,1742.906
8,Green,(1-1),1.960,Green, (0-0),3.793253,1.606294,24.89914,14.57944,1617.298,3024.787
9,Green,(0-0),2.180,Green, (0-2),3.898797,2.341927,37.40725,32.22992,2688.122,9513.683
10,Green,(0-2),0.780,Red, (0-3),3.00436,1.509762,30.60206,28.18039,1618.611,2146.877
11,Red,(0-3),0.600,Green, (0-4),2.530347,1.170406,57.78858,34.29828,2711.185,3111.722
12,Green,(0-4),1.240,Green, (1-3),3.304507,1.206713,28.79714,13.08903,1634.205,1839.584
13,Green,(1-3),1.480,Red, (1-2),3.428469,1.424628,17.9675,11.66918,1465.537,4919.432
14,Red,(1-2),2.000,Green, (2-2),3.89079,2.715337,24.15972,28.73798,4093.266,30272.27
15,Green,(2-2),1.580,Green, (3-3),3.58948,3.33259,36.90659,27.12623,1743.651,1764.859
16,Green,(3-3),2.060,Green, (4-4),3.639064,1.105278,18.14837,8.111404,899.0841,795.4189
17,Green,(4-4),1.560,Green, (2-4),3.454112,1.988547,39.30846,29.39316,2313.34,6032.515
