sample,t,x,y,z, HasCollision
0,0.0,0.0,-65.51071,-88.1142,False
1,0.01696014,0.0,-65.51071,-88.1142,False
2,0.03338623,0.0,-65.51071,-88.1142,False
3,0.04999542,0.0,-65.51071,-88.1142,False
4,0.06654358,0.0,-65.51071,-88.1142,False
5,0.08351135,0.0,-65.51071,-88.1142,False
6,0.1003418,0.0,-65.51071,-88.1142,False
7,0.1169052,0.0,-65.51071,-88.1142,False
8,0.1335983,0.0,-65.51071,-88.1142,False
9,0.1503601,0.0,-65.51071,-88.1142,False
10,0.1668167,0.0,-65.51071,-88.1142,False
11,0.1833572,0.0,-65.51071,-88.1142,False
12,0.2004166,0.0,-65.51071,-88.1142,False
13,0.2165909,0.0,-65.51071,-88.1142,False
14,0.2334976,0.0,-65.51071,-88.1142,False
15,0.2499466,0.0,-65.51071,-88.1142,False
16,0.2665634,0.0,-65.51071,-88.1142,False
17,0.2835464,0.0,-65.51071,-88.1142,False
18,0.3002167,0.0,-65.51071,-88.1142,False
19,0.3166504,0.0,-65.51071,-88.1142,False
20,0.3333588,0.0,-65.51071,-88.1142,False
21,0.3500519,0.0,-65.51071,-88.1142,False
22,0.3668823,0.0,-65.51071,-88.1142,False
23,0.383522,0.0,-65.51071,-88.1142,False
24,0.4000549,0.0,-65.51071,-88.1142,False
25,0.4166183,0.0,-65.51071,-88.1142,False
26,0.4332657,0.0,-65.51071,-88.1142,False
27,0.4500198,0.0,-65.51071,-88.1142,False
28,0.4665527,0.0,-65.51071,-88.1142,False
29,0.4833984,0.0,-65.51071,-88.1142,False
30,0.5000687,0.0,-65.51071,-88.1142,False
31,0.5168152,0.0,-65.51071,-88.1142,False
32,0.5333862,0.0,-65.51071,-88.1142,False
33,0.5500488,0.06637704,-64.94584,-87.63842,False
34,0.5666275,0.06637704,-64.94584,-87.63842,False
35,0.5832748,0.9324961,-64.81942,-87.36253,False
36,0.5999374,0.7666059,-64.891,-87.29507,False
37,0.6167526,0.5002781,-64.91022,-87.24216,False
38,0.6334,0.06669192,-64.85789,-87.25554,False
39,0.6499634,-0.6003321,-64.91022,-87.24284,False
40,0.666832,-0.6003321,-64.91022,-87.24284,False
