sample,t,vx,vy,vz
0,0.0,0.0,0.0,0.0
1,0.01682281,0.0,0.0,0.0
2,0.0333252,0.0,0.0,0.0
3,0.04962921,0.0,0.0,0.0
4,0.06649017,0.0,0.0,0.0
5,0.08309174,0.0,0.0,0.0
6,0.09963226,0.0,0.0,0.0
7,0.1164856,0.0,0.0,0.0
8,0.1330872,0.0,0.0,0.0
9,0.1498871,0.0,0.0,0.0
10,0.1663742,0.0,0.0,0.0
11,0.1832428,0.0,0.0,0.0
12,0.1998749,0.0,0.0,0.0
13,0.2165604,0.0,0.0,0.0
14,0.2331772,0.0,0.0,0.0
15,0.2497482,0.0,0.0,0.0
16,0.2667923,0.0,0.0,0.0
17,0.2829971,0.0,0.0,0.0
18,0.3000183,0.0,0.0,0.0
19,0.3163147,0.0,0.0,0.0
20,0.3331223,0.0,0.0,0.0
21,0.3497238,0.0,0.0,0.0
22,0.3663559,0.0,0.0,0.0
23,0.3829193,0.0,0.0,0.0
24,0.399826,0.0,0.0,0.0
25,0.416275,0.0,0.0,0.0
26,0.4327774,0.0,0.0,0.0
27,0.4497681,0.0,0.0,0.0
28,0.466507,0.0,0.0,0.0
29,0.4830093,0.0,0.0,0.0
30,0.4997559,0.0,0.0,0.0
31,0.5165939,0.0,0.0,0.0
32,0.5327835,0.0,0.0,0.0
33,0.5497742,0.0,0.0,0.0
34,0.5662079,0.0,0.0,0.0
35,0.5830765,0.0,0.0,0.0
36,0.5996857,0.0,0.0,0.0
37,0.6163559,0.0,0.0,0.0
38,0.6329117,0.0,0.0,0.0
39,0.6496658,0.0,0.0,0.0
40,0.6664429,0.0,0.0,0.0
41,0.6830673,0.0,0.0,0.0
42,0.6998672,0.0,0.0,0.0
43,0.7161331,0.0,0.0,0.0
44,0.7330627,0.0,0.0,0.0
45,0.7503433,0.0,0.0,0.0
46,0.7663727,0.0,0.0,0.0
47,0.7833557,0.0,0.0,0.0
48,0.7996368,0.0,0.0,0.0
49,0.8163681,0.0,0.0,0.0
50,0.8331757,0.0,0.0,0.0
51,0.8497238,0.0,0.0,0.0
52,0.8662872,0.0,0.0,0.0
53,0.8832397,0.0,0.0,0.0
54,0.8999252,0.0,0.0,0.0
55,0.9164734,0.0,0.0,0.0
56,0.9332275,0.0,0.0,0.0
57,0.9498367,0.0,0.0,0.0
58,0.9660416,0.0,0.0,0.0
59,0.9829941,0.0,0.0,0.0
60,0.9995041,0.0,0.0,0.0
61,1.016365,0.0,0.0,0.0
62,1.032959,0.0,0.0,0.0
63,1.049812,0.0,0.0,0.0
64,1.066376,0.0,0.0,0.0
65,1.083107,0.0,0.0,0.0
66,1.099617,0.0,0.0,0.0
67,1.116402,0.0,0.0,0.0
68,1.133278,0.0,0.0,0.0
69,1.149704,0.0,0.0,0.0
70,1.166412,0.0,0.0,0.0
71,1.1828,0.0,0.0,0.0
72,1.199577,0.0,0.0,0.0
73,1.2164,0.0,0.0,0.0
74,1.232941,0.0,0.0,0.0
75,1.24968,0.0,0.0,0.0
76,1.266441,0.0,0.0,0.0
77,1.282776,0.0,0.0,0.0
78,1.299507,0.0,0.0,0.0
79,1.31633,0.0,0.0,0.0
80,1.333023,0.0,0.0,0.0
81,1.350014,0.0,0.0,0.0
82,1.366066,0.0,0.0,0.0
