t,x,y,z, HasCollision
0,0,50,0,False
0.01626968,0,50,0,False
0.0328598,0,50,0,False
0.0501709,0,50,0,False
0.06649399,0,50,0,False
0.08298111,0,50,0,False
0.1002007,0,50,0,False
0.1167221,0,50,0,False
0.1329765,0,50,0,False
0.1493454,0,50,0,False
0.165844,0,50,0,False
0.1825714,0,50,0,False
0.1992683,0,50,0,False
0.2161217,0,50,0,False
0.2325249,0,50,0,False
0.2495575,0,50,0,False
0.2662201,0,50,0,False
0.2827072,0,50,0,False
0.2993698,0,50,0,False
0.3159485,0,50,0,False
0.3325996,0,50,0,False
0.3494873,0,50,0,False
0.3661423,0,50,0,False
0.3826714,0,50,0,False
0.4001923,0,50,0,False
0.4172592,0,50,0,False
0.432869,0,50,0,False
0.4492378,0,50,0,False
0.4663277,0,50,0,False
0.4828949,0,50,0,False
0.4992905,0,50,0,False
0.5160522,0,50,0,False
0.5325546,0,50,0,False
0.5494118,0,50,0,False
0.5663147,0,50,0,False
0.5826492,0,50,0,False
0.5995636,0,50,0,False
0.6162376,0,50,0,False
0.6327438,0,50,0,False
0.6492844,0,50,0,False
0.6660881,0,50,0,False
0.6827583,0,50,0,False
0.699501,0,50,0,False
0.7163658,0,50,0,False
0.7372513,0,50,0,False
0.7526398,0,50,0,False
0.7694168,0,50,0,False
0.7826347,0,50,0,False
0.7992058,0,50,0,False
0.8162727,0,50,0,False
0.832634,0,50,0,False
0.8495102,0,50,0,False
0.8661842,0,50,0,False
0.8832512,0,50,0,False
0.8993187,0,50,0,False
0.9162025,0,50,0,False
0.9325867,0,50,0,False
0.9493484,0,50,0,False
0.9663353,0,50,0,False
0.9825058,0,50,0,False
0.9993591,0,50,0,False
1.016502,0,50,0,False
1.033543,0,50,0,False
1.049755,0,50,0,False
1.067753,0,50,0,False
1.083801,0,50,0,False
1.100334,0,50,0,False
1.116398,0,50,0,False
1.133095,0,50,0,False
1.150585,0,50,0,False
1.166759,0,50,0,False
1.183281,0,50,0,False
1.199963,0,50,0,False
1.216892,0,50,0,False
1.232716,0,50,0,False
1.249859,0,50,0,False
1.266922,0,50,0,False
1.283558,0,50,0,False
1.299686,0,50,0,False
1.316151,0,50,0,False
1.332848,0,50,0,False
1.349613,0,50,0,False
1.366684,0,50,0,False
1.383373,0,50,0,False
1.400177,0,50,0,False
1.417336,0,50,0,False
1.433311,0,50,0,False
1.450508,0,50,0,False
1.466766,0,50,0,False
1.485146,0,50,0,False
1.500542,0,50,0,False
1.516876,0,50,0,False
1.533463,0,50,0,False
1.550377,0,50,0,False
1.566998,0,50,0,False
1.582722,0,50,0,False
1.599842,0,50,0,False
1.616665,0,50,0,False
1.632725,0,50,0,False
1.649952,0,50,0,False
1.666355,0,50,0,False
1.682964,0,50,0,False
1.699623,0,50,0,False
1.716377,0,50,0,False
1.733582,0,50,0,False
1.749702,0,50,0,False
1.766411,0,50,0,False
1.78278,0,50,0,False
1.799854,0,50,0,False
1.816105,0,50,0,False
1.832798,0,50,0,False
1.849152,0,50,0,False
1.866562,0,50,0,False
1.883121,0,50,0,False
1.900127,0,50,0,False
1.916607,0,50,0,False
1.932934,0,50,0,False
1.949631,0,50,0,False
1.966488,0,50,0,False
1.983078,0,50,0,False
2.000099,0,50,0,False
2.016445,0,50,0,False
2.033237,0,50,0,False
2.049816,0,50,0,False
2.06657,0,50,0,False
2.083035,0,50,0,False
2.099617,0,50,0,False
2.116665,0,50,0,False
2.132999,0,50,0,False
2.150074,0,50,0,False
2.166565,0,50,0,False
2.182827,0,50,0,False
2.199738,0,50,0,False
2.216259,0,50,0,False
2.233162,0,50,0,False
2.249802,0,50,0,False
2.266674,0,50,0,False
2.283096,0,50,0,False
2.299774,0,50,0,False
2.316711,0,50,0,False
2.332901,0,50,0,False
2.349628,0,50,0,False
2.366539,0,50,0,False
2.382782,0,50,0,False
2.399681,0,50,0,False
2.416451,0,50,0,False
2.433006,0,50,0,False
2.449734,0,50,0,False
2.466534,0,50,0,False
2.482975,0,50,0,False
2.499916,0,50,0,False
2.516941,0,50,0,False
2.532936,0,50,0,False
2.549751,0,50,0,False
2.566513,0,50,0,False
2.58292,0,50,0,False
2.599663,0,50,0,False
2.61681,0,50,0,False
2.63303,0,50,0,False
2.649666,0,50,0,False
2.666256,0,50,0,False
2.682922,0,50,0,False
2.699768,0,50,0,False
2.716339,0,50,0,False
2.733181,0,50,0,False
2.749733,0,50,0,False
2.766792,0,50,0,False
2.782921,0,50,0,False
2.799683,0,50,0,False
2.816658,0,50,0,False
2.833042,0,50,0,False
2.849583,0,50,0,False
2.866394,0,50,0,False
2.882504,0,50,0,False
2.899033,0,50,0,False
2.915882,0,50,0,False
2.932411,0,50,0,False
2.949486,0,50,0,False
2.966145,0,50,0,False
2.982414,0,50,0,False
2.999516,0,50,0,False
3.015942,0,50,0,False
3.032543,0,50,0,False
3.049343,0,50,0,False
3.065716,0,50,0,False
3.082615,0,50,0,False
3.099495,0,50,0,False
3.116047,0,50,0,False
3.13258,0,50,0,False
3.1492,0,50,0,False
3.165955,0,50,0,False
3.182888,0,50,0,False
3.199226,0,50,0,False
3.216316,0,50,0,False
3.232605,0,50,0,False
3.249836,0,50,0.2672074,False
3.266106,0,50,0.7576774,False
3.282711,0,50,1.506545,False
3.299721,0,50,2.533886,False
3.316288,0,50,3.781726,False
3.332577,0,50,5.247157,False
3.349083,0,50,6.977642,False
3.36657,0,50,9.086081,False
3.382793,0,50,11.27906,False
3.398933,0,50,13.69484,False
3.415699,0,50,16.4576,False
3.4328,0,50,19.53902,False
3.449379,0,50,22.77306,False
3.467171,0,50,26.52886,False
3.483513,0,50,30.21955,False
3.500286,0,50,34.26024,False
3.51709,0,50,38.56308,False
3.533825,0,50,43.09962,False
3.550583,0,50,47.89484,False
3.566551,0,50,52.68545,False
3.583408,0,50,57.74273,False
3.600006,0,50,62.72243,False
3.616951,0,50,67.8062,False
3.633556,0,50,72.78785,False
3.650379,0,50,77.83394,False
3.667046,0,50,82.83401,False
3.683285,0,50,87.70643,False
3.700344,0,50,92.82422,False
3.717289,0,50,97.9073,False
3.733631,0,50,102.8098,False
3.750572,0,50,107.8925,False
3.766853,0,50,112.7763,False
3.783627,0,50,117.8083,False
3.800198,0,50,122.7797,False
3.817413,0,50,127.9444,False
3.833988,0,50,132.9167,False
3.850361,0,50,137.8283,False
3.867119,0,50,142.8561,False
3.883648,0,50,147.8147,False
3.900089,0,50,152.7471,False
3.917267,0,50,157.9002,False
3.932518,0,50,162.4756,False
3.949528,0,50,167.5785,False
3.965405,0,50,172.342,False
3.982536,0,50,177.4813,False
3.999012,0,50,182.4236,False
4.016373,0,50,187.6322,False
4.032467,0,50,192.46,False
4.049438,0,50,197.5518,False
4.066887,0,50,202.7861,False
4.083767,0,50,207.8504,False
4.099743,0,50,212.6432,False
4.11655,0,50,217.6862,False
4.133041,0,50,222.6334,False
4.150017,0,50,227.7253,False
4.166431,0,50,232.6502,False
4.183315,0,50,237.715,False
4.199703,0,50,242.6319,False
4.216831,0,50,247.7696,False
4.234402,0,50,252.763,False
4.24979,0,50,256.9236,False
4.266323,0,50,261.1463,False
4.283085,0,50,265.1756,False
4.299957,0,50,268.9755,False
4.316624,0,50,272.4781,False
4.333439,0,50,275.7583,False
4.350334,0,50,278.7964,False
4.366726,0,50,281.5029,False
4.383419,0,50,284.008,False
4.39999,0,50,286.2475,False
4.416767,0,50,288.2617,False
4.434208,0.2737791,50,290.0818,False
4.450268,0.7578998,50,291.5256,False
4.46674,1.498792,50,292.7625,False
4.483234,2.48539,50,293.756,False
4.500065,3.74712,50,294.5149,False
4.517078,5.283475,50,295.0216,False
4.533314,6.986552,50,295.2678,False
4.550213,9.016169,50,295.2678,False
4.565929,11.12636,50,295.2678,False
4.582752,13.63958,50,295.2678,False
4.599957,16.47599,50,295.2678,False
4.616718,19.49168,50,295.2678,False
4.633297,22.72338,50,295.2678,False
4.650555,26.35435,50,295.2678,False
4.667072,30.0753,50,295.2678,False
4.683819,34.09969,50,295.2678,False
4.699863,38.18813,50,295.2678,False
4.717113,42.8499,50,295.2678,False
4.733471,47.51392,50,295.2678,False
4.75037,52.58266,50,295.2678,False
4.766834,57.52324,50,295.2678,False
4.78326,62.45089,50,295.2678,False
4.800243,67.54469,50,295.2678,False
4.816959,72.56009,50,295.2678,False
4.832539,77.2346,50,295.2678,False
4.849194,82.23086,50,295.2678,False
4.865948,87.25552,50,295.2678,False
4.88242,92.19712,50,295.2678,False
