t,vx,vy,vz
0,0,0,0
0.003852844,0,0,0
0.01998901,0,0,0
0.03683472,0,0,0
0.05342865,0,0,0
0.07008362,0,0,0
0.08679962,0,0,0
0.1030502,0,0,0
0.1199722,0,0,0
0.1369171,0,0,0
0.1539536,0,0,0
0.1699982,0,0,0
0.1868744,0,0,0
0.2037582,0,0,0
0.2201309,0,0,0
0.2369614,0,0,0
0.2530441,0,0,0
0.2697754,0,0,0
0.2867508,0,0,0
0.3037643,0,0,0
0.3203812,0,0,0
0.3368225,0,0,0
0.3534012,0,0,0
0.3706207,0,0,0
0.386879,0,0,0
0.403244,0,0,0
0.4203186,0,0,0
0.4371033,0,0,0
0.4534378,0,0,0
0.4705276,0,0,0
0.4867096,0,0,0
0.5034637,0,0,0
0.5201874,0,0,0
0.5366287,0,0,0
0.5536346,0,0,0
0.570549,0,0,0
0.5872421,0,0,0
0.6033783,0,0,0
0.620224,0,0,0
0.6368179,0,0,0
0.6539383,0,0,0
0.6699982,0,0,0
0.6864777,0,0,0
0.7035217,0,0,0
0.7201767,0,0,0
0.7367249,0,0,0
0.75354,0,0,0
0.7696762,0,0,0
0.7864838,0,0,0
0.8037262,0,0,0
0.8203278,0,0,0
0.8367538,0,0,0
0.853447,0,0,0
0.8699875,0,0,0
0.8867188,0,0,0
0.9033661,0,0,0
0.9198456,0,0,0
0.9366226,0,0,0
0.9535217,0,0,0
0.9700546,0,0,0
0.9868317,0,0,0
1.003685,0,0,0
1.020416,0,0,0
1.036606,0,0,0
1.053596,0,0,0
1.070198,0,0,0
1.086746,0,0,0
1.103607,0,0,0
1.120491,0,0,0
1.136353,0,0,0
1.153557,0,0,0
1.170151,0,0,0
1.186615,0,0,0
1.203499,0,0,0
1.220467,0,0,0
1.236534,0,0,0
1.253334,0,0,0
1.269516,0,0,0
1.286209,0,0,0
1.302971,0,0,0
1.320389,0,0,0
1.336739,0,0,0
1.352951,0,0,0
1.369781,0,0,0
1.386696,0,0,0
1.403191,0,0,0
1.42012,0,0,0
1.436752,0,0,0
1.453575,0,0,0
1.470078,0,0,0
1.486679,0,0,0
1.503273,0,0,0
1.519791,0,0,0
1.536705,0,0,0
1.553474,0,0,0
1.569931,0,0,0
1.58683,0,0,0
1.603455,0,0,0
1.619865,0,0,0
1.636749,0,0,0
1.653076,0,0,0
1.670433,0,0,0
1.68634,0,0,0
1.703171,0,0,0
1.720169,0,0,0
1.736725,0,0,0
1.753433,0,0,0
1.769936,0,0,0
1.786858,0,0,0
1.803482,0,0,0
1.819916,0,0,0
1.837059,0,0,0
1.853218,0,0,0
1.869934,0,0,0
1.886589,0,0,0
1.903618,0,0,0
1.919861,0,0,0
1.936707,0,0,0
1.953186,0,0,0
1.970467,0,0,0
1.986603,0,0,0
2.003471,0,0,0
2.01992,0,0,0
2.036781,0,0,0
2.053696,0,0,0
2.069885,0,0,0
2.08667,0,0,0
2.103508,0,0,0
2.120216,0,0,0
2.137253,0,0,0
2.154076,0,0,0
2.170517,0,0,0
2.187187,0,0,0
2.204247,0,0,0
2.220688,0,0,0
2.237503,0,0,0
2.254036,0,0,0
2.271065,0,0,0
2.287384,0,0,0
2.304298,0,0,0
2.320717,0,0,0
2.337891,0,0,0
2.354286,0,0,0
2.371315,0,0,0
2.386719,0,0,0
2.404137,0,0,0
2.419601,0,0,0
2.437248,0,0,0
2.452888,0,0,0
2.471207,0,0,0
2.487488,0,0,0
2.504585,0,0,0
2.520775,0,0,0
2.537521,0,0,0
2.554161,0,0,0
2.571243,0,0,0
2.58741,0,0,0
2.603966,0,0,0
2.621284,0,0,0
2.637451,0,0,0
2.654716,0,0,0
2.671143,0,0,0
2.687325,0,0,0
2.704102,0,0,0
2.721069,0,0,0
2.737679,0,0,0
2.754059,0,0,0
2.770721,0,0,0
2.787674,0,0,0
2.80442,0,0,0
2.820923,0,0,0
2.837494,0,0,0
2.854691,0,0,0
2.870636,0,0,0
2.887222,0,0,0
2.90419,0,0,0
2.920624,0,0,0
2.937569,0,0,0
2.954163,0,0,0
2.971062,0,0,0
2.986534,0,0,0
3.003273,0,0,0
3.020195,0,0,0
3.037598,0,0,0
3.054207,0,0,0
3.071091,0,0,0
3.087273,0,0,0
3.104149,0,0,0
3.121017,0,0,0
3.138161,0,0,0
3.154472,0,0,0
3.171028,0,0,0
3.187454,0,0,0
3.204292,0,0,0
3.220139,0,0,0
3.237083,0,0,0
3.252769,0,0,0
3.269493,0,0,0
3.286156,0,0,0
3.302872,0,0,0
3.319557,0,0,0
3.336349,0,0,0
3.352989,0,0,0
3.369682,0,0,0
3.386375,0,0,0
3.403137,0,0,0
3.419708,0,0,0
3.436165,0,0,0
3.452919,0,0,0
3.46936,0,0,0
3.486412,0,0,0
3.50267,0,0,0
3.519318,0,0,0
3.536041,0,0,0
3.552773,0,0,0
3.569656,0,0,0
3.586166,0,0,0
3.603088,0,0,0
3.619545,0,0,0
3.636047,0,0,0
3.652657,0,0,0
3.669685,0,0,0
3.686569,0,0,0
3.704201,0,0,0
3.720779,0,0,0
3.738091,0,0,0
3.754097,0,0,0
3.769638,0,0,0
3.786346,0,0,0
3.802795,0,0,0
3.819649,0,0,0
3.836655,0,0,0
3.853088,0,0,0
3.870094,0,0,0
3.88662,0,0,0
3.903183,0,0,0
3.92012,0,0,0
3.936821,0,0,0
3.953896,0,0,0
3.970284,0,0,0
3.986618,0,0,0
4.004196,0,0,0
4.020241,0,0,0
4.037094,0,0,0
4.053833,0,0,0
4.070465,0,0,0
4.086075,0,0,0
4.103073,0,0,0
4.120026,0,0,0
4.136597,0,0,0
4.153008,0,0,0
4.169533,0,0,0
4.186317,0,0,0
4.203293,0,0,0
4.220261,0,0,0
4.23671,0,0,0
4.25338,0,0,0
4.269989,0,0,0
4.286606,0,0,0
4.303398,0,0,0
4.319572,0,0,0
4.337029,0,0,0
4.353729,0,0,0
4.370895,0,0,0
4.387123,0,0,0
4.403893,0,0,0
4.420586,0,0,0
4.437035,0,0,0
4.453545,0,0,0
4.471443,0,0,0
4.486931,0,0,0
4.503716,0,0,0
4.520378,0,0,0
4.53717,0,0,0
4.553886,0,0,0
