Collision k, Collision time, Ball Position, Ball Color
1,928.98,(6-6),Green
2,932.36,(6-4),Green
3,936.08,(6-2),Green
4,942.38,(6-0),Green
5,944.16,(5-1),Green
6,945.48,(5-0),Red
7,947.06,(4-0),Green
8,949.7599,(4-1),Red
9,951.16,(3-1),Green
10,953.46,(3-0),Red
11,954.58,(2-0),Green
12,956.1,(2-1),Red
13,958.44,(1-1),Green
14,960.94,(1-0),Red
15,963.06,(0-0),Green
16,965.82,(0-2),Green
17,969.8,(1-3),Green
18,973.04,(2-2),Green
19,977,(3-3),Green
20,978.36,(3-2),Red
21,981.9,(4-2),Green
22,986.14,(5-3),Green
23,989.04,(4-4),Green
24,991.68,(5-5),Green
25,993.66,(4-6),Green
26,994.28,(4-5),Red
27,997.64,(3-5),Green
28,999.28,(3-6),Red
29,1001,(2-6),Green
30,1002.92,(2-5),Red
31,1004.1,(1-5),Green
32,1005.42,(2-4),Green
33,1008.28,(1-4),Red
34,1009.04,(0-4),Green
35,1010.82,(0-6),Green
