Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),16.385,Green, (6-6),5.86737,16.59103,55.90004,55.03873,2507.166,3915.733
1,Green,(6-6),0.780,Green, (6-5),2.675954,1.111803,21.20306,23.91117,893.4692,1492.966
2,Green,(6-5),2.300,Green, (6-4),3.553261,2.667287,17.27329,19.34745,803.7402,1156.188
3,Green,(6-4),1.140,Green, (6-3),3.438545,1.938651,28.71911,21.03013,1435.591,1664.509
4,Green,(6-3),3.420,Green, (6-2),4.288234,5.22496,24.62798,18.35932,1223.384,1403.819
5,Green,(6-2),1.260,Green, (6-1),3.408951,3.124023,25.23128,23.30282,2495.204,10922.09
6,Green,(6-1),0.680,Green, (6-0),2.358801,1.214239,24.52814,22.81299,1053.734,1490.18
7,Green,(6-0),2.040,Green, (5-1),3.784817,3.228341,18.68636,15.92325,1025.35,1346.366
8,Green,(5-1),1.480,Red, (5-2),3.450036,1.89879,22.39209,14.74442,1089.723,1138.709
9,Red,(5-2),1.100,Green, (4-2),3.444661,1.681324,9.811947,10.67393,870.1567,2539.433
10,Green,(4-2),4.220,Red, (4-3),4.428535,9.183015,29.98322,23.48422,1462.007,1756.237
11,Red,(4-3),3.460,Green, (3-3),4.435515,4.352326,16.91792,13.6578,1315.001,6933.299
12,Green,(3-3),0.720,Red, (3-4),2.751616,1.515142,16.70993,14.22861,1049.427,1858.305
13,Red,(3-4),2.640,Green, (2-4),3.998167,5.698139,22.0698,15.23629,1107.454,1211.328
14,Green,(2-4),2.240,Green, (1-5),3.75071,1.304917,12.36729,8.414676,742.6766,1131.789
15,Green,(1-5),1.100,Red, (1-6),3.320095,1.332018,15.80768,11.69734,1360.589,4665.109
16,Red,(1-6),0.820,Green, (0-6),2.825166,1.73495,12.29305,9.278837,700.1447,854.1697
17,Green,(0-6),0.620,Green, (0-5),2.449333,1.189718,20.05087,19.76969,1094.648,1675.907
18,Green,(0-5),0.660,Green, (0-4),2.237772,1.038577,22.62199,27.73855,2802.31,10977.75
19,Green,(0-4),0.800,Green, (0-3),2.522483,1.084454,21.48257,24.77849,2448.058,10723.03
20,Green,(0-3),3.580,Green, (0-2),4.435131,4.793803,22.17789,19.08394,1097.353,1346.966
21,Green,(0-2),2.000,Green, (0-1),3.86388,3.53714,22.20163,18.7981,1106.833,1343.098
22,Green,(0-1),1.420,Green, (0-0),3.444382,2.596788,25.43228,17.40018,1689.204,4006.224
