sample,t,x,y,z, HasCollision
0,0.0,0.0,-65.51071,-88.1142,False
1,0.0166626,0.0,-65.51071,-88.1142,False
2,0.03326416,0.0,-65.51071,-88.1142,False
3,0.04992676,0.0,-65.51071,-88.1142,False
4,0.06655884,0.0,-65.51071,-88.1142,False
5,0.08325195,0.0,-65.51071,-88.1142,False
6,0.09994507,0.0,-65.51071,-88.1142,False
7,0.1166687,0.0,-65.51071,-88.1142,False
8,0.1332397,0.0,-65.51071,-88.1142,False
9,0.1500854,0.0,-65.51071,-88.1142,False
10,0.166687,0.0,-65.51071,-88.1142,False
11,0.1832886,0.0,-65.51071,-88.1142,False
12,0.1999817,0.0,-65.51071,-88.1142,False
13,0.2166138,0.0,-65.51071,-88.1142,False
14,0.2332764,0.0,-65.51071,-88.1142,False
15,0.2500916,0.0,-65.51071,-88.1142,False
16,0.266571,0.0,-65.51071,-88.1142,False
17,0.2833557,0.0,-65.51071,-88.1142,False
18,0.2999573,0.0,-65.51071,-88.1142,False
19,0.3168945,0.0,-65.51071,-88.1142,False
20,0.3332825,0.0,-65.51071,-88.1142,False
21,0.3500977,0.0,-65.51071,-88.1142,False
22,0.3668213,0.0,-65.51071,-88.1142,False
23,0.3833008,0.0,-65.51071,-88.1142,False
24,0.3999329,0.0,-65.51071,-88.1142,False
25,0.4165039,0.0,-65.51071,-88.1142,False
26,0.4332886,0.0,-65.51071,-88.1142,False
27,0.4499512,0.0,-65.51071,-88.1142,False
28,0.4670715,0.0,-65.51071,-88.1142,False
29,0.4832153,0.0,-65.51071,-88.1142,False
30,0.4999084,0.0,-65.51071,-88.1142,False
31,0.516571,0.0,-65.51071,-88.1142,False
32,0.5332336,0.0,-65.51071,-88.1142,False
33,0.5498352,0.0,-65.51071,-88.1142,False
34,0.5665894,0.0,-65.51071,-88.1142,False
35,0.583252,0.0,-65.51071,-88.1142,False
36,0.599884,0.0,-65.51071,-88.1142,False
37,0.6168213,0.0,-65.51071,-88.1142,False
38,0.6333618,0.0,-65.51071,-88.1142,False
39,0.6499023,0.0,-65.51071,-88.1142,False
40,0.6666565,0.0,-65.51071,-88.1142,False
41,0.6833191,0.0,-65.51071,-88.1142,False
42,0.6998291,0.0,-65.51071,-88.1142,False
43,0.7165833,0.0,-65.51071,-88.1142,False
44,0.7332153,0.0,-65.51071,-88.1142,False
45,0.7499084,0.0,-65.51071,-88.1142,False
46,0.7669373,0.0,-65.51071,-88.1142,False
47,0.7831421,0.0,-65.51071,-88.1142,False
48,0.7998657,0.0,-65.51071,-88.1142,False
49,0.8165588,0.0,-65.51071,-88.1142,False
50,0.8332214,0.0,-65.51071,-88.1142,False
51,0.8498535,0.0,-65.51071,-88.1142,False
52,0.8665161,0.0,-65.51071,-88.1142,False
53,0.8831787,0.0,-65.51071,-88.1142,False
54,0.8998718,0.0,-65.51071,-88.1142,False
55,0.9165649,0.0,-65.51071,-88.1142,False
56,0.933197,0.0,-65.51071,-88.1142,False
57,0.9498596,0.0,-65.51071,-88.1142,False
58,0.9665833,0.0,-65.51071,-88.1142,False
59,0.9832153,0.0,-65.51071,-88.1142,False
60,0.999939,0.0,-65.51071,-88.1142,False
61,1.01651,0.0,-65.51071,-88.1142,False
62,1.033142,0.0,-65.51071,-88.1142,False
63,1.049835,0.0,-65.51071,-88.1142,False
64,1.066437,0.0,-65.51071,-88.1142,False
65,1.083221,0.0,-65.51071,-88.1142,False
66,1.099823,0.0,-65.51071,-88.1142,False
67,1.116486,0.0,-65.51071,-88.1142,False
68,1.133179,0.0,-65.51071,-88.1142,False
69,1.150299,0.0,-65.51071,-88.1142,False
70,1.166565,0.0,-65.51071,-88.1142,False
71,1.183167,0.0,-65.51071,-88.1142,False
72,1.199768,0.0,-65.51071,-88.1142,False
73,1.216461,0.0,-65.51071,-88.1142,False
74,1.233154,0.0,-65.51071,-88.1142,False
75,1.249695,0.0,-65.51071,-88.1142,False
76,1.266541,0.0,-65.51071,-88.1142,False
77,1.283203,0.0,-65.51071,-88.1142,False
78,1.299805,0.0,-65.51071,-88.1142,False
79,1.316467,0.0,-65.51071,-88.1142,False
80,1.33316,0.0,-65.51071,-88.1142,False
81,1.349823,0.0,-65.51071,-88.1142,False
82,1.366486,0.0,-65.51071,-88.1142,False
83,1.383179,0.0,-65.51071,-88.1142,False
84,1.399902,0.0,-65.51071,-88.1142,False
85,1.416565,0.0,-65.51071,-88.1142,False
86,1.433075,0.0,-65.51071,-88.1142,False
87,1.449799,0.0,-65.51071,-88.1142,False
88,1.466461,0.0,-65.51071,-88.1142,False
89,1.483093,0.0,-65.51071,-88.1142,False
90,1.499817,0.0,-65.51071,-88.1142,False
91,1.51651,0.0,-65.51071,-88.1142,False
92,1.533234,0.0,-65.51071,-88.1142,False
93,1.549835,0.0,-65.51071,-88.1142,False
94,1.566437,0.0,-65.51071,-88.1142,False
95,1.583099,0.0,-65.51071,-88.1142,False
96,1.599762,0.0,-65.51071,-88.1142,False
97,1.616394,0.0,-65.51071,-88.1142,False
98,1.633148,0.0,-65.51071,-88.1142,False
99,1.649811,0.0,-65.51071,-88.1142,False
100,1.666443,0.0,-65.51071,-88.1142,False
101,1.684021,0.0,-65.51071,-88.1142,False
102,1.69986,0.0,-65.51071,-88.1142,False
103,1.716309,0.0,-65.51071,-88.1142,False
104,1.733063,0.0,-65.51071,-88.1142,False
105,1.75,0.0,-65.51071,-88.1142,False
106,1.766418,0.0,-65.51071,-88.1142,False
107,1.783173,0.0,-65.51071,-88.1142,False
108,1.80014,0.0,-65.51071,-88.1142,False
109,1.816376,0.0,-65.51071,-88.1142,False
110,1.83313,0.0,-65.51071,-88.1142,False
111,1.849792,0.0,-65.51071,-88.1142,False
112,1.866333,0.0,-65.51071,-88.1142,False
113,1.883087,0.0,-65.51071,-88.1142,False
114,1.899689,0.0,-65.51071,-88.1142,False
115,1.916351,0.0,-65.51071,-88.1142,False
116,1.933044,0.0,-65.51071,-88.1142,False
117,1.949768,0.0,-65.51071,-88.1142,False
118,1.96637,0.0,-65.51071,-88.1142,False
119,1.983246,0.0,-65.51071,-88.1142,False
120,1.999664,0.0,-65.51071,-88.1142,False
121,2.016449,0.0,-65.51071,-88.1142,False
122,2.03299,0.0,-65.51071,-88.1142,False
123,2.049805,0.0,-65.51071,-88.1142,False
124,2.066742,0.0,-65.51071,-88.1142,False
