Collision k, Collision time, Ball Position, Ball Color
1,333.96,(6-3),Green
2,335.24,(6-2),Green
3,335.9,(6-1),Green
4,337.02,(5-1),Green
5,337.94,(6-0),Green
6,340.6,(5-2),Red
7,341.4,(4-2),Green
8,342.42,(4-3),Red
9,343.22,(3-3),Green
10,343.36,(3-3),Green
11,344.1,(3-4),Red
12,345.46,(2-4),Green
13,347.58,(1-5),Green
14,348.6,(0-5),Green
15,349.08,(0-6),Green
16,349.96,(0-4),Green
17,350.7,(0-3),Green
18,351.3,(0-2),Green
19,351.92,(0-1),Green
20,354.26,(0-0),Green
21,358.54,(6-6),Green
22,359.18,(6-5),Green
23,359.74,(6-4),Green
