Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),5.245,Green, (4-3),4.895473,2.47552,21.45529,26.90516,1107.255,1772.977
1,Green,(4-3),1.340,Green, (4-4),3.466691,2.341232,47.7074,37.85414,4429.633,18848.64
2,Green,(4-4),1.220,Green, (4-2),2.913293,1.249821,39.35974,28.23904,2192.412,3043.703
3,Green,(4-2),0.780,Green, (4-1),2.638576,1.144896,24.57086,20.38885,3050.807,13526.42
4,Green,(4-1),1.000,Green, (3-1),3.028165,1.364951,23.53155,11.56034,1759.397,4847.871
5,Green,(3-1),0.880,Green, (4-0),2.979694,2.974715,48.1199,30.70699,2242.41,2271.34
6,Green,(4-0),2.540,Red, (3-2),3.853969,2.236359,31.5718,22.11613,1850.338,2365.016
7,Red,(3-2),0.680,Green, (2-2),2.931803,1.199765,24.54272,15.77772,2647.794,9182.632
8,Green,(2-2),1.140,Red, (2-3),3.345769,2.319937,33.084,25.41517,1752.982,2021.157
9,Red,(2-3),0.820,Green, (1-3),2.904811,1.508588,25.51304,16.07307,1374.734,1381.466
10,Green,(1-3),0.820,Green, (0-3),2.982874,1.262808,28.91799,17.7266,1387.757,1419.517
11,Green,(0-3),0.640,Green, (0-4),2.764445,1.567435,38.44258,21.38048,2386.608,3089.809
12,Green,(0-4),1.120,Green, (0-2),2.875555,1.587839,44.11296,27.43378,2024.337,2301.327
13,Green,(0-2),1.520,Green, (0-0),3.160038,1.097907,33.25777,21.0348,1670.059,1764.611
14,Green,(0-0),0.920,Green, (0-1),2.979111,1.359698,22.53876,15.25932,1242.188,1148.352
