sample,t,x,y,z, HasCollision
0,0.0,0.0,-65.51071,-88.1142,False
1,0.01681519,0.0,-65.51071,-88.1142,False
2,0.03335571,0.0,-65.51071,-88.1142,False
3,0.05004883,0.0,-65.51071,-88.1142,False
4,0.06704712,0.0,-65.51071,-88.1142,False
5,0.08335114,0.0,-65.51071,-88.1142,False
6,0.0999527,0.0,-65.51071,-88.1142,False
7,0.1167984,0.0,-65.51071,-88.1142,False
8,0.1333847,0.0,-65.51071,-88.1142,False
9,0.1501923,0.0,-65.51071,-88.1142,False
10,0.1668472,0.0,-65.51071,-88.1142,False
11,0.1833801,0.0,-65.51071,-88.1142,False
12,0.1999817,0.0,-65.51071,-88.1142,False
13,0.216774,0.0,-65.51071,-88.1142,False
14,0.2333832,0.0,-65.51071,-88.1142,False
15,0.2499313,0.0,-65.51071,-88.1142,False
16,0.2665329,0.0,-65.51071,-88.1142,False
17,0.2835083,0.0,-65.51071,-88.1142,False
18,0.3000412,0.0,-65.51071,-88.1142,False
19,0.3166275,0.0,-65.51071,-88.1142,False
20,0.3332062,0.0,-65.51071,-88.1142,False
21,0.3498077,0.0,-65.51071,-88.1142,False
22,0.3666153,0.0,-65.51071,-88.1142,False
23,0.3833542,0.0,-65.51071,-88.1142,False
24,0.3999023,0.0,-65.51071,-88.1142,False
25,0.4166489,0.0,-65.51071,-88.1142,False
26,0.4333496,0.0,-65.51071,-88.1142,False
27,0.450119,0.0,-65.51071,-88.1142,False
28,0.4666595,0.0,-65.51071,-88.1142,False
29,0.483345,0.0,-65.51071,-88.1142,False
30,0.4999542,0.0,-65.51071,-88.1142,False
31,0.5167389,0.0,-65.51071,-88.1142,False
32,0.5334625,0.0,-65.51071,-88.1142,False
33,0.5500793,0.0,-65.51071,-88.1142,False
34,0.5666656,0.0,-65.51071,-88.1142,False
35,0.5831833,0.0,-65.51071,-88.1142,False
36,0.5998764,0.0,-65.51071,-88.1142,False
37,0.6167145,0.0,-65.51071,-88.1142,False
38,0.6332245,0.0,-65.51071,-88.1142,False
39,0.650116,0.0,-65.51071,-88.1142,False
40,0.6666946,0.0,-65.51071,-88.1142,False
41,0.6831741,0.0,-65.51071,-88.1142,False
42,0.6999512,0.0,-65.51071,-88.1142,False
43,0.7165833,0.0,-65.51071,-88.1142,False
44,0.733223,0.0,-65.51071,-88.1142,False
45,0.7498322,0.0,-65.51071,-88.1142,False
46,0.7667847,0.0,-65.51071,-88.1142,False
47,0.7833862,0.0,-65.51071,-88.1142,False
48,0.7998734,0.0,-65.51071,-88.1142,False
49,0.8165283,0.0,-65.51071,-88.1142,False
50,0.8332901,0.0,-65.51071,-88.1142,False
51,0.849884,0.0,-65.51071,-88.1142,False
52,0.8667908,0.0,-65.51071,-88.1142,False
53,0.8832626,0.0,-65.51071,-88.1142,False
54,0.8999329,0.0,-65.51071,-88.1142,False
55,0.916626,0.0,-65.51071,-88.1142,False
56,0.9331741,0.0,-65.51071,-88.1142,False
57,0.9500656,0.0,-65.51071,-88.1142,False
58,0.9665222,0.0,-65.51071,-88.1142,False
59,0.9831848,0.0,-65.51071,-88.1142,False
60,0.9999313,0.0,-65.51071,-88.1142,False
61,1.016518,0.0,-65.51071,-88.1142,False
62,1.033165,0.0,-65.51071,-88.1142,False
63,1.049934,0.0,-65.51071,-88.1142,False
64,1.066681,0.0,-65.51071,-88.1142,False
65,1.083328,0.0,-65.51071,-88.1142,False
66,1.099884,0.0,-65.51071,-88.1142,False
67,1.116554,0.0,-65.51071,-88.1142,False
68,1.133492,0.0,-65.51071,-88.1142,False
69,1.149857,0.0,-65.51071,-88.1142,False
70,1.166718,0.0,-65.51071,-88.1142,False
71,1.183228,0.0,-65.51071,-88.1142,False
72,1.199799,0.0,-65.51071,-88.1142,False
73,1.216743,0.0,-65.51071,-88.1142,False
74,1.233414,0.0,-65.51071,-88.1142,False
75,1.249886,0.0,-65.51071,-88.1142,False
76,1.26664,0.0,-65.51071,-88.1142,False
77,1.283386,0.0,-65.51071,-88.1142,False
78,1.300026,0.0,-65.51071,-88.1142,False
79,1.317108,0.0,-65.51071,-88.1142,False
80,1.333603,0.0,-65.51071,-88.1142,False
81,1.349861,0.0,-65.51071,-88.1142,False
82,1.366524,0.0,-65.51071,-88.1142,False
83,1.383476,0.0,-65.51071,-88.1142,False
84,1.399864,0.0,-65.51071,-88.1142,False
85,1.416809,0.03391443,-63.83114,-85.87305,False
86,1.43338,0.139547,-61.59428,-83.5085,False
87,1.44986,0.2844224,-58.17645,-81.88899,False
88,1.46666,0.2844224,-58.17645,-81.88899,False
89,1.483475,0.4888452,-50.59801,-76.90248,False
90,1.499855,0.7281136,-46.18866,-75.15668,False
91,1.516792,1.014259,-41.64692,-73.48482,False
92,1.533348,1.349171,-37.35785,-71.85433,False
93,1.549934,1.900682,-33.91568,-70.01559,False
94,1.566658,1.900682,-33.91568,-70.01559,False
95,1.583588,3.771878,-28.43105,-66.47564,False
96,1.599899,4.610268,-26.5086,-65.55861,False
97,1.616486,5.229544,-25.2456,-65.04147,False
98,1.633438,5.741352,-24.69802,-65.03056,False
99,1.649887,6.198844,-24.69911,-65.2203,False
100,1.666588,6.198844,-24.69911,-65.2203,False
101,1.683258,6.523167,-26.12958,-64.119,False
102,1.700073,6.551882,-27.57586,-62.96506,False
103,1.71653,6.672057,-28.95054,-61.73995,False
104,1.733086,6.789386,-30.20753,-60.5761,False
105,1.750023,6.889834,-31.03565,-59.69366,False
106,1.766449,6.889834,-31.03565,-59.69366,False
107,1.783409,6.444205,-31.95813,-58.8837,False
108,1.799828,5.929757,-32.93425,-58.37516,False
109,1.816643,5.912095,-34.99088,-56.9995,False
110,1.833359,6.474857,-37.85009,-55.19072,False
111,1.849838,7.449418,-40.24659,-53.85101,False
112,1.866539,7.449418,-40.24659,-53.85101,False
113,1.88327,9.127322,-43.38126,-52.37515,False
114,1.900063,9.547979,-44.89698,-51.92785,False
115,1.916664,9.811663,-46.46986,-51.08071,False
116,1.933556,10.13426,-48.0019,-49.57666,False
117,1.949608,10.16746,-49.10064,-48.0193,False
118,1.966545,10.16746,-49.10064,-48.0193,False
119,1.983231,10.12921,-52.38256,-44.84071,False
120,1.999924,10.83416,-54.48056,-43.19656,False
121,2.016586,11.88202,-56.40248,-41.98448,False
122,2.03331,13.384,-58.50144,-41.17606,False
123,2.050079,14.97613,-60.93237,-40.69177,False
124,2.066643,14.97613,-60.93237,-40.69177,False
125,2.083229,17.45695,-66.01038,-40.09931,False
126,2.099709,18.44838,-68.18512,-39.93512,False
127,2.116722,19.50519,-70.1596,-39.72634,False
128,2.133209,20.42212,-71.82581,-39.40844,False
129,2.149956,20.96427,-73.02548,-39.08347,False
130,2.166649,20.96427,-73.02548,-39.08347,False
131,2.183258,21.89646,-74.38448,-38.73772,False
132,2.200035,22.54919,-75.00919,-38.45385,False
133,2.21666,23.07804,-75.42549,-38.26606,False
134,2.233337,23.51084,-75.53061,-38.31499,False
135,2.250046,23.71273,-75.69099,-38.41936,False
136,2.266548,23.71273,-75.69099,-38.41936,False
137,2.283073,24.44322,-76.16951,-38.64874,False
138,2.299835,25.04784,-76.53809,-38.66636,False
139,2.316605,25.59666,-76.85423,-38.69054,False
140,2.33345,25.87109,-77.01237,-38.70379,False
141,2.349686,26.07888,-77.11903,-38.77346,False
142,2.366623,26.07888,-77.11903,-38.77346,False
143,2.383308,26.77906,-77.48949,-38.87655,False
144,2.399857,27.70004,-77.80621,-38.98954,False
145,2.416565,28.96536,-78.38619,-39.06469,False
146,2.433258,30.23115,-78.96679,-39.15477,False
147,2.4496,30.23115,-78.96679,-39.15477,True
148,2.449944,31.50308,-79.65395,-39.2357,False
149,2.466461,31.50308,-79.65395,-39.2357,False
150,2.483124,33.85902,-81.12453,-38.86638,False
151,2.499733,35.01918,-81.74979,-38.58059,False
152,2.516724,35.99196,-82.05679,-38.38128,False
153,2.533134,36.59414,-82.209,-38.28852,False
154,2.549904,36.86454,-82.26222,-38.35317,False
