sample,t,vx,vy,vz
0,0.0,0.0,0.0,0.0
1,0.01663208,0.0,0.0,0.0
2,0.03341675,0.0,0.0,0.0
3,0.05001831,0.0,0.0,0.0
4,0.06661987,0.0,0.0,0.0
5,0.08340454,0.0,0.0,0.0
6,0.1000977,0.0,0.0,0.0
7,0.1166687,0.0,0.0,0.0
8,0.1333008,0.0,0.0,0.0
9,0.1500244,0.0,0.0,0.0
10,0.166626,0.0,0.0,0.0
11,0.1833801,0.0,0.0,0.0
12,0.1999512,0.0,0.0,0.0
13,0.2166443,0.0,0.0,0.0
14,0.2334595,0.0,0.0,0.0
15,0.2500305,0.0,0.0,0.0
16,0.2666626,0.0,0.0,0.0
17,0.2834473,0.0,0.0,0.0
18,0.3000793,0.0,0.0,0.0
19,0.3166199,0.0,0.0,0.0
20,0.3333435,0.0,0.0,0.0
21,0.3500366,0.0,0.0,0.0
22,0.3667297,0.0,0.0,0.0
23,0.3833923,0.0,0.0,0.0
24,0.4000549,0.0,0.0,0.0
25,0.416626,0.0,0.0,0.0
26,0.4334717,0.0,0.0,0.0
27,0.4500427,0.0,0.0,0.0
28,0.4672241,0.0,0.0,0.0
29,0.4832458,0.0,0.0,0.0
30,0.5,0.0,0.0,0.0
31,0.5166321,0.0,0.0,0.0
32,0.5332642,0.0,0.0,0.0
33,0.5499268,0.0,0.0,0.0
34,0.5665894,0.0,0.0,0.0
35,0.583374,0.0,0.0,0.0
36,0.6000061,0.0,0.0,0.0
37,0.6166992,0.0,0.0,0.0
38,0.6334229,0.0,0.0,0.0
39,0.6499939,0.0,0.0,0.0
40,0.6667175,0.0,0.0,0.0
41,0.6834106,0.0,0.0,0.0
42,0.6999817,0.0,0.0,0.0
43,0.7166443,0.0,0.0,0.0
44,0.7332764,0.0,0.0,0.0
45,0.7499695,0.0,0.0,0.0
46,0.7666016,0.0,0.0,0.0
47,0.7833862,0.0,0.0,0.0
48,0.7999268,0.0,0.0,0.0
49,0.8166199,0.0,0.0,0.0
50,0.833252,0.0,0.0,0.0
51,0.8499451,0.0,0.0,0.0
52,0.8666687,0.0,0.0,0.0
53,0.8832703,0.0,0.0,0.0
54,0.8999023,0.0,0.0,0.0
55,0.916626,0.0,0.0,0.0
56,0.9333496,0.0,0.0,0.0
57,0.9499207,0.0,0.0,0.0
58,0.9665527,0.0,0.0,0.0
59,0.9833374,0.0,0.0,0.0
60,1.000305,0.0,0.0,0.0
61,1.016693,0.0,0.0,0.0
62,1.033295,0.0,0.0,0.0
63,1.049927,0.0,0.0,0.0
64,1.06665,0.0,0.0,0.0
65,1.083282,0.0,0.0,0.0
66,1.100433,0.0,0.0,0.0
67,1.116577,0.0,0.0,0.0
68,1.133209,0.0,0.0,0.0
69,1.150055,0.0,0.0,0.0
70,1.166626,0.0,0.0,0.0
71,1.183258,0.0,0.0,0.0
72,1.199951,0.0,0.0,0.0
73,1.216522,0.0,0.0,0.0
74,1.233154,0.0,0.0,0.0
75,1.249908,0.0,0.0,0.0
76,1.26651,0.0,0.0,0.0
77,1.283234,0.0,0.0,0.0
78,1.299866,0.0,0.0,0.0
79,1.316498,0.0,0.0,0.0
80,1.333191,0.0,0.0,0.0
81,1.349823,0.0,0.0,0.0
82,1.366516,0.0,0.0,0.0
83,1.38324,0.0,0.0,0.0
84,1.399811,0.0,0.0,0.0
85,1.416534,4.62761,67.37204,130.959
86,1.433105,33.26166,104.7597,122.1662
87,1.449829,37.56235,121.0051,115.3324
88,1.466522,37.56235,121.0051,115.3324
89,1.483215,17.74957,112.6139,102.8992
90,1.499878,24.53278,91.30483,82.5895
91,1.516541,39.91955,58.27532,57.53785
92,1.533417,44.66434,14.13161,35.91266
93,1.549744,32.35032,-15.33592,9.925633
94,1.566467,32.35032,-15.33592,9.925633
95,1.58316,-0.3166743,-17.20398,-7.598817
96,1.599823,-4.547036,-14.12861,5.195291
97,1.616516,0.07576843,-5.14475,2.176106
98,1.633057,-0.1473976,-7.73571,3.279014
99,1.649841,10.27703,-22.7496,25.90807
100,1.666595,10.27703,-22.7496,25.90807
101,1.683685,15.22434,-16.07506,6.296192
102,1.699768,8.251142,-23.32788,9.194179
103,1.716492,2.960627,-12.26259,3.64062
104,1.733124,0.1082309,-4.164281,1.682734
105,1.749878,7.140867,-13.22613,5.005354
106,1.766449,7.140867,-13.22613,5.005354
107,1.783173,2.563073,-4.395845,12.86546
108,1.799744,9.95501,-1.677909,21.73243
109,1.816742,17.76019,21.06082,28.00918
110,1.83313,10.04565,22.25664,37.31975
111,1.849823,8.365149,22.25909,26.38309
112,1.866547,8.365149,22.25909,26.38309
