Collision k, Collision time, Ball Position, Ball Color
1,80.32,(5-0),Green
2,80.5,(6-0),Green
3,81.2,(4-0),Green
4,81.52,(3-0),Green
5,81.82,(2-0),Green
6,82.24,(1-0),Green
7,82.54,(0-0),Green
8,83.56,(0-1),Green
9,84.14,(0-2),Green
10,84.46,(0-3),Green
11,84.64,(0-4),Green
12,84.82,(0-5),Green
13,85.34,(0-6),Green
14,85.82,(1-6),Green
15,86.16,(2-6),Green
16,86.66,(3-6),Green
17,87.08,(4-6),Green
18,87.5,(5-6),Green
19,87.98,(6-6),Green
20,88.32,(6-5),Green
21,88.86,(6-4),Green
22,89.7,(6-2),Green
23,89.93999,(6-3),Green
24,89.98,(6-3),Green
25,90.86,(6-1),Green
