Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),2.672,Green, (5-0),4.430274,3.668423,77.43484,111.4729,3619.313,7314.454
1,Green,(5-0),0.180,Green, (6-0),1.584165,0.9642141,22.13354,15.81666,833.9048,1082.765
2,Green,(6-0),0.700,Green, (4-0),2.833995,1.26269,31.05241,27.17401,1315.492,1915.407
3,Green,(4-0),0.320,Green, (3-0),2.076028,0.977553,40.80973,20.34242,3878.609,9990.821
4,Green,(3-0),0.300,Green, (2-0),2.026732,0.9824895,37.35444,19.21771,2709.061,5286.417
5,Green,(2-0),0.420,Green, (1-0),2.371733,1.009121,32.33081,17.38263,1676.859,1954.493
6,Green,(1-0),0.300,Green, (0-0),2.054493,0.9690357,39.181,19.02805,2073.183,2192.522
7,Green,(0-0),1.020,Green, (0-1),3.014232,1.429136,27.82027,15.5538,1333.496,1278.22
8,Green,(0-1),0.580,Green, (0-2),2.128392,3.141619,27.71666,14.69037,1584.334,1641.897
9,Green,(0-2),0.320,Green, (0-3),1.734275,0.9673702,39.4697,19.16495,1963.516,2051.896
10,Green,(0-3),0.180,Green, (0-4),0.8447855,0.9327103,66.00001,39.11489,3960.6,4586.67
11,Green,(0-4),0.180,Green, (0-5),0.4395663,0.9394657,66.8241,38.91529,6470.794,13835.34
12,Green,(0-5),0.520,Green, (0-6),2.129178,1.136002,27.5176,21.77527,1644.928,2212.63
13,Green,(0-6),0.480,Green, (1-6),2.284814,2.088889,38.8542,25.34684,2074.26,2432.198
14,Green,(1-6),0.340,Green, (2-6),2.161642,1.014022,37.22749,19.49597,1802.171,1900.535
15,Green,(2-6),0.500,Green, (3-6),2.591991,0.9670591,28.23658,22.08993,1372.125,1555.336
16,Green,(3-6),0.420,Green, (4-6),2.371949,1.02287,33.28032,17.56775,1535.38,1611.941
17,Green,(4-6),0.420,Green, (5-6),2.275079,1.005795,28.73854,13.49967,5225.021,20382.79
18,Green,(5-6),0.480,Green, (6-6),2.424386,0.993473,28.26625,14.02562,1168.115,1282.124
19,Green,(6-6),0.340,Green, (6-5),1.807991,1.105292,24.98002,15.19116,1676.716,2591.379
20,Green,(6-5),0.540,Green, (6-4),1.842197,0.9754434,26.20627,19.58594,1167.938,1543.857
21,Green,(6-4),0.840,Green, (6-2),2.240661,1.032556,32.62455,23.17472,2102.591,4804.038
22,Green,(6-2),0.240,Green, (6-3),0.7659304,0.9928161,48.49449,27.52211,2455.232,2584.73
23,Green,(6-3),0.040,Green, (6-3),-0.4045851,0.4756865,12.95365,21.92068,513.5835,754.3931
24,Green,(6-3),0.880,Green, (6-1),2.834388,1.197576,32.44066,26.9288,1521.647,2055.588
