sample,t,x,y,z, HasCollision
0,0.0,0.0,-65.51071,-88.1142,False
1,0.01675415,0.0,-65.51071,-88.1142,False
2,0.03305054,0.0,-65.51071,-88.1142,False
3,0.05007935,0.0,-65.51071,-88.1142,False
4,0.0664978,0.0,-65.51071,-88.1142,False
5,0.08306885,0.0,-65.51071,-88.1142,False
6,0.09976196,0.0,-65.51071,-88.1142,False
7,0.1164856,0.0,-65.51071,-88.1142,False
8,0.1330566,0.0,-65.51071,-88.1142,False
9,0.1497498,0.0,-65.51071,-88.1142,False
10,0.1664429,0.0,-65.51071,-88.1142,False
11,0.183136,0.0,-65.51071,-88.1142,False
12,0.2001953,0.0,-65.51071,-88.1142,False
13,0.2164307,0.0,-65.51071,-88.1142,False
14,0.2330627,0.0,-65.51071,-88.1142,False
15,0.2498169,0.0,-65.51071,-88.1142,False
16,0.26651,0.0,-65.51071,-88.1142,False
17,0.2833862,0.0,-65.51071,-88.1142,False
18,0.2997742,0.0,-65.51071,-88.1142,False
19,0.3164368,0.0,-65.51071,-88.1142,False
20,0.3330078,0.0,-65.51071,-88.1142,False
21,0.3497314,0.0,-65.51071,-88.1142,False
22,0.366394,0.0,-65.51071,-88.1142,False
23,0.3830872,0.0,-65.51071,-88.1142,False
24,0.4000244,0.0,-65.51071,-88.1142,False
25,0.4169006,0.0,-65.51071,-88.1142,False
26,0.4331055,0.0,-65.51071,-88.1142,False
27,0.4498596,0.0,-65.51071,-88.1142,False
28,0.4664612,0.0,-65.51071,-88.1142,False
29,0.4830627,0.0,-65.51071,-88.1142,False
30,0.4997559,0.0,-65.51071,-88.1142,False
31,0.516449,0.0,-65.51071,-88.1142,False
32,0.53302,0.0,-65.51071,-88.1142,False
33,0.5496826,0.0,-65.51071,-88.1142,False
34,0.5663757,0.0,-65.51071,-88.1142,False
35,0.5830688,0.0,-65.51071,-88.1142,False
36,0.5998535,0.0,-65.51071,-88.1142,False
37,0.6164246,0.0,-65.51071,-88.1142,False
38,0.6332397,0.0,-65.51071,-88.1142,False
39,0.6496582,0.0,-65.51071,-88.1142,False
40,0.6664124,0.0,-65.51071,-88.1142,False
41,0.6831665,0.0,-65.51071,-88.1142,False
42,0.6996765,0.0,-65.51071,-88.1142,False
43,0.7162781,0.0,-65.51071,-88.1142,False
44,0.7329407,0.0,-65.51071,-88.1142,False
45,0.7496643,0.0,-65.51071,-88.1142,False
46,0.7665405,0.0,-65.51071,-88.1142,False
47,0.7829895,0.0,-65.51071,-88.1142,False
48,0.7997131,0.0,-65.51071,-88.1142,False
49,0.8166504,0.0,-65.51071,-88.1142,False
50,0.8330383,0.0,-65.51071,-88.1142,False
51,0.8497314,0.0,-65.51071,-88.1142,False
52,0.866394,0.0,-65.51071,-88.1142,False
53,0.8830566,0.0,-65.51071,-88.1142,False
54,0.8996887,0.0,-65.51071,-88.1142,False
55,0.9164429,0.0,-65.51071,-88.1142,False
56,0.9329834,0.0,-65.51071,-88.1142,False
57,0.949585,0.0,-65.51071,-88.1142,False
58,0.9664001,0.0,-65.51071,-88.1142,False
59,0.9830017,0.0,-65.51071,-88.1142,False
60,0.9997864,0.0,-65.51071,-88.1142,False
61,1.01651,0.0,-65.51071,-88.1142,False
