sample,t,vx,vy,vz
0,0.0,0.0,0.0,0.0
1,0.01625061,0.0,0.0,0.0
2,0.03326416,0.0,0.0,0.0
3,0.04945374,0.0,0.0,0.0
4,0.06626892,0.0,0.0,0.0
5,0.08300781,0.0,0.0,0.0
6,0.09985352,0.0,0.0,0.0
7,0.1161499,0.0,0.0,0.0
8,0.1331635,0.0,0.0,0.0
9,0.1496582,0.0,0.0,0.0
10,0.1663666,0.0,0.0,0.0
11,0.1829224,0.0,0.0,0.0
12,0.1998138,0.0,0.0,0.0
13,0.2161865,0.0,0.0,0.0
14,0.2329102,0.0,0.0,0.0
15,0.2496796,0.0,0.0,0.0
16,0.2666321,0.0,0.0,0.0
17,0.2830963,0.0,0.0,0.0
18,0.299942,0.0,0.0,0.0
19,0.3167114,0.0,0.0,0.0
20,0.3331604,0.0,0.0,0.0
21,0.3497162,0.0,0.0,0.0
22,0.3664551,0.0,0.0,0.0
23,0.3828583,0.0,0.0,0.0
24,0.3996124,0.0,0.0,0.0
25,0.4165955,0.0,0.0,0.0
26,0.4329529,0.0,0.0,0.0
27,0.4497223,0.0,0.0,0.0
28,0.466507,0.0,0.0,0.0
29,0.4831543,0.0,0.0,0.0
30,0.4998169,0.0,0.0,0.0
31,0.5161896,0.0,0.0,0.0
32,0.5329132,0.0,0.0,0.0
33,0.5499878,0.0,0.0,0.0
34,0.5663757,0.0,0.0,0.0
35,0.5830994,0.0,0.0,0.0
36,0.5998077,0.0,0.0,0.0
37,0.6163483,0.0,0.0,0.0
38,0.6330872,0.0,0.0,0.0
39,0.6497955,0.0,0.0,0.0
40,0.6663208,0.0,0.0,0.0
41,0.6830597,0.0,0.0,0.0
42,0.6995544,0.0,0.0,0.0
43,0.7163391,0.0,0.0,0.0
44,0.7327118,0.0,0.0,0.0
45,0.7496338,0.0,0.0,0.0
46,0.7664032,0.0,0.0,0.0
47,0.7830811,0.0,0.0,0.0
48,0.7996826,0.0,0.0,0.0
49,0.8162689,0.0,0.0,0.0
50,0.8331299,0.0,0.0,0.0
51,0.8500519,0.0,0.0,0.0
52,0.8662262,0.0,0.0,0.0
53,0.8830719,0.0,0.0,0.0
54,0.8995819,0.0,0.0,0.0
55,0.9163666,0.0,0.0,0.0
56,0.9329681,0.0,0.0,0.0
57,0.9495239,0.0,0.0,0.0
58,0.966217,0.0,0.0,0.0
59,0.9829254,0.0,0.0,0.0
60,1.000031,0.0,0.0,0.0
61,1.016357,0.0,0.0,0.0
62,1.032898,0.0,0.0,0.0
63,1.049545,0.0,0.0,0.0
64,1.066452,0.0,0.0,0.0
65,1.082779,0.0,0.0,0.0
66,1.09967,0.0,0.0,0.0
67,1.116287,0.0,0.0,0.0
68,1.132782,0.0,0.0,0.0
69,1.149582,0.0,0.0,0.0
70,1.166397,0.0,0.0,0.0
71,1.183075,0.0,0.0,0.0
72,1.199661,0.0,0.0,0.0
73,1.216293,0.0,0.0,0.0
74,1.232971,0.0,0.0,0.0
75,1.249496,0.0,0.0,0.0
76,1.266266,0.0,0.0,0.0
77,1.28299,0.0,0.0,0.0
78,1.299698,0.0,0.0,0.0
79,1.316589,0.0,0.0,0.0
80,1.332687,0.0,0.0,0.0
81,1.349487,0.0,0.0,0.0
82,1.366379,0.0,0.0,0.0
83,1.383041,0.0,0.0,0.0
84,1.399643,0.0,0.0,0.0
85,1.416367,0.0,0.0,0.0
86,1.432938,0.0,0.0,0.0
87,1.449341,0.0,0.0,0.0
88,1.466263,0.0,0.0,0.0
89,1.482651,0.0,0.0,0.0
90,1.499741,0.0,0.0,0.0
91,1.516006,0.0,0.0,0.0
92,1.532822,0.0,0.0,0.0
93,1.549805,0.0,0.0,0.0
94,1.566223,0.0,0.0,0.0
95,1.582733,0.0,0.0,0.0
96,1.59967,-4.634243,9.187824,9.983875
97,1.615952,-26.20837,123.4131,38.32787
98,1.63266,-26.20837,123.4131,38.32787
99,1.649368,-12.01396,79.77412,60.35931
100,1.666046,-10.8037,90.84673,79.43237
101,1.682968,-1.001903,95.05228,72.81938
102,1.699356,3.346424,136.246,91.30672
103,1.716171,0.6174085,164.9112,110.7601
104,1.732758,0.6174085,164.9112,110.7601
105,1.749603,10.91935,170.5918,141.8978
106,1.766235,12.63267,144.4689,171.3256
107,1.782745,4.748142,108.0979,181.4454
108,1.79953,-10.75753,53.79088,145.6292
109,1.816208,-1.528803,-15.56311,116.0866
110,1.832687,-1.528803,-15.56311,116.0866
111,1.849655,15.93299,-75.27235,46.43237
