Collision k, Collision time, Ball Position, Ball Color
1,278.64,(6-6),Green
2,280.08,(6-4),Green
3,280.96,(5-5),Green
4,281.88,(4-6),Green
5,282.76,(3-5),Green
6,283.54,(2-6),Green
7,283.88,(2-5),Green
8,284.3,(1-5),Green
9,284.56,(0-5),Green
10,285.96,(0-6),Green
11,287.16,(1-4),Green
12,287.5,(2-4),Green
13,288.86,(0-3),Green
14,289.08,(1-3),Green
15,289.66,(0-2),Green
16,290.82,(2-2),Green
17,291.22,(2-1),Green
18,291.68,(3-1),Green
19,292.14,(4-1),Green
20,292.74,(5-1),Green
21,293.82,(5-0),Green
22,294.02,(4-0),Green
23,294.8,(6-0),Green
24,296.3,(4-2),Green
25,296.7,(4-3),Green
26,297.14,(4-4),Green
27,297.68,(5-3),Green
28,299.6,(2-0),Green
29,300.24,(1-0),Green
