Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),3.185,Green, (6-6),4.466824,4.224864,71.33827,80.93003,3348.946,5448.838
1,Green,(6-6),1.440,Green, (6-4),3.611243,2.844131,53.5351,42.86025,2455.611,3109.653
2,Green,(6-4),0.880,Green, (5-5),3.139694,2.306108,40.99374,38.96085,2730.603,6346.005
3,Green,(5-5),0.920,Green, (4-6),3.217217,1.948293,43.65778,40.40485,2141.096,2671.142
4,Green,(4-6),0.880,Green, (3-5),3.181465,1.987731,38.757,35.46675,2851.134,7148.708
5,Green,(3-5),0.780,Green, (2-6),3.205031,1.773853,44.78851,43.93365,2599.021,3529.24
6,Green,(2-6),0.340,Green, (2-5),2.129661,1.291167,35.0732,23.59507,2429.312,2650.64
7,Green,(2-5),0.420,Green, (1-5),2.422382,1.42266,25.72738,21.92997,1427.827,1787.728
8,Green,(1-5),0.260,Green, (0-5),1.885624,0.9886218,47.6566,28.22142,4758.018,10467.27
9,Green,(0-5),1.400,Green, (0-6),3.4761,3.769338,48.01915,32.39899,2580.862,3045.061
10,Green,(0-6),1.200,Green, (1-4),3.330611,1.283795,36.31092,30.03453,1924.213,2512.324
11,Green,(1-4),0.340,Green, (2-4),2.437789,1.520996,15.45683,10.56486,908.7346,937.6291
12,Green,(2-4),1.360,Green, (0-3),3.660344,2.755437,54.90242,57.64391,3189.087,6249.838
13,Green,(0-3),0.220,Green, (1-3),1.864119,0.9478047,44.23729,25.51262,2364.867,2277.39
14,Green,(1-3),0.580,Green, (0-2),2.741697,1.646717,31.56079,25.27535,1825.549,2183.053
15,Green,(0-2),1.160,Green, (2-2),3.420765,2.223264,40.26149,29.0837,2025.66,2246.028
16,Green,(2-2),0.400,Green, (2-1),2.059197,1.068116,28.05033,15.93997,1098.794,1231.602
17,Green,(2-1),0.460,Green, (3-1),2.46338,1.281707,26.11272,22.35963,1570.948,1957.937
18,Green,(3-1),0.460,Green, (4-1),2.35284,1.051083,29.59346,15.39343,2880.418,8123.957
19,Green,(4-1),0.600,Green, (5-1),2.685067,1.017394,21.32847,10.55459,1996.663,5940.298
20,Green,(5-1),1.080,Green, (5-0),3.066484,1.645583,15.91955,11.91765,712.6907,817.6846
21,Green,(5-0),0.200,Green, (4-0),1.525456,0.9024617,45.15265,33.80543,1641.107,2104.998
22,Green,(4-0),0.780,Green, (6-0),2.915427,2.121549,43.29018,27.84432,2083.245,2218.772
23,Green,(6-0),1.500,Green, (4-2),3.714479,2.340907,53.54804,46.53791,2837.613,3435.901
24,Green,(4-2),0.400,Green, (4-3),2.111166,1.044325,28.99918,20.02977,1366.003,1605.511
25,Green,(4-3),0.440,Green, (4-4),1.743692,0.9732141,28.6973,23.6644,3806.937,12447.04
26,Green,(4-4),0.540,Green, (5-3),2.353388,1.672189,32.98401,28.39322,1666.654,2215.55
27,Green,(5-3),1.920,Green, (2-0),3.903926,2.099031,53.71419,54.16849,2432.611,3595.483
28,Green,(2-0),0.640,Green, (1-0),2.838795,1.844836,34.07206,24.9102,3199.418,8966.829
