sample,t,x,y,z, HasCollision
0,0.0,0.0,-65.51071,-88.1142,False
1,0.01686096,0.0,-65.51071,-88.1142,False
2,0.03363037,0.0,-65.51071,-88.1142,False
3,0.05015564,0.0,-65.51071,-88.1142,False
4,0.06689453,0.0,-65.51071,-88.1142,False
5,0.08325195,0.0,-65.51071,-88.1142,False
6,0.09999084,0.0,-65.51071,-88.1142,False
7,0.1165924,0.0,-65.51071,-88.1142,False
8,0.1333618,0.0,-65.51071,-88.1142,False
9,0.1501465,0.0,-65.51071,-88.1142,False
10,0.1669312,0.0,-65.51071,-88.1142,False
11,0.1836395,0.0,-65.51071,-88.1142,False
12,0.2002258,0.0,-65.51071,-88.1142,False
13,0.2169342,0.0,-65.51071,-88.1142,False
14,0.2333069,0.0,-65.51071,-88.1142,False
15,0.2501678,0.0,-65.51071,-88.1142,False
16,0.266983,0.0,-65.51071,-88.1142,False
17,0.2836304,0.0,-65.51071,-88.1142,False
18,0.3001862,0.0,-65.51071,-88.1142,False
19,0.3170319,0.0,-65.51071,-88.1142,False
20,0.3334503,0.0,-65.51071,-88.1142,False
21,0.3500519,0.0,-65.51071,-88.1142,False
22,0.366745,0.0,-65.51071,-88.1142,False
23,0.3832855,0.0,-65.51071,-88.1142,False
24,0.4000702,0.0,-65.51071,-88.1142,False
25,0.416626,0.0,-65.51071,-88.1142,False
26,0.4331818,0.0,-65.51071,-88.1142,False
27,0.4500427,0.0,-65.51071,-88.1142,False
28,0.4667816,0.0,-65.51071,-88.1142,False
29,0.4833984,0.0,-65.51071,-88.1142,False
30,0.5001373,0.0,-65.51071,-88.1142,False
31,0.51651,0.0,-65.51071,-88.1142,False
32,0.5332947,0.0,-65.51071,-88.1142,False
33,0.5501404,0.0,-65.51071,-88.1142,False
34,0.5666809,0.0,-65.51071,-88.1142,False
35,0.5832214,0.0,-65.51071,-88.1142,False
36,0.6002197,0.0,-65.51071,-88.1142,False
37,0.6165466,0.0,-65.51071,-88.1142,False
38,0.6332855,0.0,-65.51071,-88.1142,False
39,0.6500092,0.0,-65.51071,-88.1142,False
40,0.6665955,0.0,-65.51071,-88.1142,False
41,0.6833954,0.0,-65.51071,-88.1142,False
42,0.6999817,0.0,-65.51071,-88.1142,False
43,0.7167816,0.0,-65.51071,-88.1142,False
44,0.7334595,0.0,-65.51071,-88.1142,False
45,0.7501526,0.0,-65.51071,-88.1142,False
46,0.7667236,0.0,-65.51071,-88.1142,False
47,0.7833862,0.0,-65.51071,-88.1142,False
48,0.7998047,0.0,-65.51071,-88.1142,False
49,0.8166962,0.0,-65.51071,-88.1142,False
50,0.8332062,0.0,-65.51071,-88.1142,False
51,0.8499756,0.0,-65.51071,-88.1142,False
52,0.8665466,0.0,-65.51071,-88.1142,False
53,0.8832397,0.0,-65.51071,-88.1142,False
54,0.900116,0.0,-65.51071,-88.1142,False
