sample,t,vx,vy,vz
0,0.0,0.0,0.0,0.0
1,0.01675415,0.0,0.0,0.0
2,0.03305054,0.0,0.0,0.0
3,0.05007935,0.0,0.0,0.0
4,0.0664978,0.0,0.0,0.0
5,0.08306885,0.0,0.0,0.0
6,0.09976196,0.0,0.0,0.0
7,0.1164856,0.0,0.0,0.0
8,0.1330566,0.0,0.0,0.0
9,0.1497498,0.0,0.0,0.0
10,0.1664429,0.0,0.0,0.0
11,0.183136,0.0,0.0,0.0
12,0.2001953,0.0,0.0,0.0
13,0.2164307,0.0,0.0,0.0
14,0.2330627,0.0,0.0,0.0
15,0.2498169,0.0,0.0,0.0
16,0.26651,0.0,0.0,0.0
17,0.2833862,0.0,0.0,0.0
18,0.2997742,0.0,0.0,0.0
19,0.3164368,0.0,0.0,0.0
20,0.3330078,0.0,0.0,0.0
21,0.3497314,0.0,0.0,0.0
22,0.366394,0.0,0.0,0.0
23,0.3830872,0.0,0.0,0.0
24,0.4000244,0.0,0.0,0.0
25,0.4169006,0.0,0.0,0.0
26,0.4331055,0.0,0.0,0.0
27,0.4498596,0.0,0.0,0.0
28,0.4664612,0.0,0.0,0.0
29,0.4830627,0.0,0.0,0.0
30,0.4997559,0.0,0.0,0.0
31,0.516449,0.0,0.0,0.0
32,0.53302,0.0,0.0,0.0
33,0.5496826,0.0,0.0,0.0
34,0.5663757,0.0,0.0,0.0
35,0.5830688,0.0,0.0,0.0
36,0.5998535,0.0,0.0,0.0
37,0.6164246,0.0,0.0,0.0
38,0.6332397,0.0,0.0,0.0
39,0.6496582,0.0,0.0,0.0
40,0.6664124,0.0,0.0,0.0
41,0.6831665,0.0,0.0,0.0
42,0.6996765,0.0,0.0,0.0
43,0.7162781,0.0,0.0,0.0
44,0.7329407,0.0,0.0,0.0
45,0.7496643,0.0,0.0,0.0
46,0.7665405,0.0,0.0,0.0
47,0.7829895,0.0,0.0,0.0
48,0.7997131,0.0,0.0,0.0
49,0.8166504,0.0,0.0,0.0
50,0.8330383,0.0,0.0,0.0
51,0.8497314,0.0,0.0,0.0
52,0.866394,0.0,0.0,0.0
53,0.8830566,0.0,0.0,0.0
54,0.8996887,0.0,0.0,0.0
55,0.9164429,0.0,0.0,0.0
56,0.9329834,0.0,0.0,0.0
57,0.949585,0.0,0.0,0.0
58,0.9664001,0.0,0.0,0.0
59,0.9830017,0.0,0.0,0.0
60,0.9997864,0.0,0.0,0.0
